0.000000	0.097100	
3000.000000	0.912700	
6000.000000	0.925900	
9000.000000	0.938400	
12000.000000	0.954200	
15000.000000	0.956600	
18000.000000	0.957700	
21000.000000	0.962900	
24000.000000	0.963100	
27000.000000	0.968200	
30000.000000	0.966500	
33000.000000	0.966100	
36000.000000	0.971000	
39000.000000	0.969200	
42000.000000	0.967200	
45000.000000	0.972400	
48000.000000	0.969100	
51000.000000	0.970300	
54000.000000	0.974000	
57000.000000	0.973700	
60000.000000	0.974800	
63000.000000	0.974900	
66000.000000	0.974600	
69000.000000	0.974800	
72000.000000	0.973600	
75000.000000	0.978000	
78000.000000	0.978200	
81000.000000	0.975200	
84000.000000	0.978500	
87000.000000	0.976200	
90000.000000	0.979800	
93000.000000	0.974600	
96000.000000	0.975000	
99000.000000	0.979000	
102000.000000	0.978600	
105000.000000	0.981300	
108000.000000	0.977800	
111000.000000	0.980100	
114000.000000	0.979400	
117000.000000	0.980200	
